year,mileage,brand,model,price,age,price_per_year,mileage_per_year
2000,168292,Maruti Suzuki,Hatchback,2677500,25,107100.0,6731.68
2005,38930,Maruti Suzuki,Sedan,1357904,20,67895.2,1946.5
2016,81047,MG,Luxury,1809148,9,201016.44,9005.22
2003,194644,Maruti Suzuki,Hatchback,474840,22,21583.64,8847.45
2020,56985,Kia,Compact SUV,1910130,5,382026.0,11397.0
2022,81730,Maruti Suzuki,Hatchback,3771823,3,1257274.33,27243.33
2015,178384,Mahindra,SUV,3954876,10,395487.6,17838.4
2012,143187,Maruti Suzuki,Sedan,1660849,13,127757.62,11014.38
2012,49645,Honda,Sedan,3781964,13,290920.31,3818.85
2011,78378,Hyundai,Hatchback,2606170,14,186155.0,5598.43
2017,87815,Tata,Sedan,2358004,8,294750.5,10976.88
2000,190374,Toyota,Sedan,640534,25,25621.36,7614.96
2008,120977,MG,SUV,3432868,17,201933.41,7116.29
2019,44114,Tata,SUV,3393951,6,565658.5,7352.33
2021,160480,Tata,Sedan,2636607,4,659151.75,40120.0
2020,167980,Tata,Hatchback,366458,5,73291.6,33596.0
2011,158758,Honda,Sedan,1375019,14,98215.64,11339.86
2003,132395,Honda,Sedan,2730367,22,124107.59,6017.95
2012,180319,Honda,Hatchback,1653700,13,127207.69,13870.69
2005,127816,Hyundai,SUV,2975853,20,148792.65,6390.8
2021,98731,Hyundai,SUV,389450,4,97362.5,24682.75
2006,140326,MG,Luxury,944374,19,49703.89,7385.58
2005,171798,Hyundai,Hatchback,2135762,20,106788.1,8589.9
2020,82466,Tata,Hatchback,2473519,5,494703.8,16493.2
2003,91689,Hyundai,SUV,1032521,22,46932.77,4167.68
2015,78915,Mahindra,MPV,3329574,10,332957.4,7891.5
2018,173335,Kia,Compact SUV,3761906,7,537415.14,24762.14
2018,172808,MG,Luxury,1961514,7,280216.29,24686.86
2017,123414,Hyundai,Sedan,2988633,8,373579.12,15426.75
2007,104308,Tata,Hatchback,1428764,18,79375.78,5794.89
2016,104697,Kia,Compact SUV,2585774,9,287308.22,11633.0
2003,51930,Hyundai,Hatchback,2648028,22,120364.91,2360.45
2002,99617,Mahindra,SUV,3954513,23,171935.35,4331.17
2012,165492,Honda,Sedan,1064968,13,81920.62,12730.15
2001,195923,Kia,SUV,2517031,24,104876.29,8163.46
2004,181530,Hyundai,Sedan,2124898,21,101185.62,8644.29
2012,165788,Toyota,MPV,876550,13,67426.92,12752.92
2014,102919,Hyundai,Hatchback,1749142,11,159012.91,9356.27
2003,143755,Toyota,Sedan,2331546,22,105979.36,6534.32
2005,189592,Mahindra,MPV,3585115,20,179255.75,9479.6
2002,67281,Hyundai,SUV,3110349,23,135232.57,2925.26
2015,164415,Tata,SUV,2688038,10,268803.8,16441.5
2019,38660,Tata,Sedan,878498,6,146416.33,6443.33
2022,134600,Mahindra,MPV,618881,3,206293.67,44866.67
2021,44964,MG,SUV,474703,4,118675.75,11241.0
2004,105767,MG,SUV,3876507,21,184595.57,5036.52
2004,83273,MG,SUV,561821,21,26753.38,3965.38
2018,112235,Mahindra,MPV,2970104,7,424300.57,16033.57
2009,170597,Tata,Hatchback,2708275,16,169267.19,10662.31
2019,63550,MG,Luxury,3274476,6,545746.0,10591.67
2006,83887,Toyota,Sedan,1562744,19,82249.68,4415.11
2020,108475,Honda,Sedan,1604663,5,320932.6,21695.0
2015,39236,Hyundai,Sedan,3287468,10,328746.8,3923.6
2018,76097,Hyundai,SUV,2877874,7,411124.86,10871.0
2022,74968,MG,SUV,1921405,3,640468.33,24989.33
2021,105892,Hyundai,Sedan,2120878,4,530219.5,26473.0
2003,141726,Tata,Hatchback,943917,22,42905.32,6442.09
2006,159350,Mahindra,SUV,922014,19,48527.05,8386.84
2004,68476,Mahindra,SUV,1764493,21,84023.48,3260.76
2009,180386,Honda,Hatchback,1954320,16,122145.0,11274.12
2003,24200,Toyota,Sedan,3061263,22,139148.32,1100.0
2020,127917,Honda,Hatchback,3904694,5,780938.8,25583.4
2015,158419,MG,Luxury,3584472,10,358447.2,15841.9
2015,132121,Hyundai,SUV,1254776,10,125477.6,13212.1
2018,55980,Honda,Sedan,2323748,7,331964.0,7997.14
2016,147461,Hyundai,Sedan,369775,9,41086.11,16384.56
2020,140166,Tata,Sedan,1665124,5,333024.8,28033.2
2017,72178,Toyota,SUV,2355100,8,294387.5,9022.25
2013,176876,Mahindra,MPV,3487472,12,290622.67,14739.67
2011,33353,Honda,Sedan,1930414,14,137886.71,2382.36
2002,177779,Mahindra,MPV,3449830,23,149992.61,7729.52
2000,25409,Tata,Sedan,449628,25,17985.12,1016.36
2006,170493,Hyundai,SUV,393499,19,20710.47,8973.32
2021,119571,Maruti Suzuki,Sedan,3598550,4,899637.5,29892.75
2004,113267,Mahindra,MPV,3805222,21,181201.05,5393.67
2018,82711,Mahindra,MPV,1351046,7,193006.57,11815.86
2019,93567,Kia,SUV,3374798,6,562466.33,15594.5
2004,191054,Kia,Compact SUV,579417,21,27591.29,9097.81
2019,152167,Maruti Suzuki,Sedan,2696691,6,449448.5,25361.17
2011,51402,Hyundai,Sedan,915062,14,65361.57,3671.57
2022,153968,Tata,SUV,3464319,3,1154773.0,51322.67
2015,99588,Kia,SUV,814592,10,81459.2,9958.8
2019,34420,Hyundai,SUV,940519,6,156753.17,5736.67
2011,83695,MG,Luxury,3665960,14,261854.29,5978.21
2020,184910,Mahindra,MPV,3130546,5,626109.2,36982.0
2022,25528,Tata,Hatchback,1369632,3,456544.0,8509.33
2017,71577,Hyundai,SUV,1220869,8,152608.62,8947.12
2021,23479,Kia,Compact SUV,1187689,4,296922.25,5869.75
2022,189767,Honda,Hatchback,2697632,3,899210.67,63255.67
2021,168241,Mahindra,MPV,3521507,4,880376.75,42060.25
2003,199074,Kia,Compact SUV,1340803,22,60945.59,9048.82
2005,127124,Toyota,MPV,2421892,20,121094.6,6356.2
2021,86283,Honda,Hatchback,1088744,4,272186.0,21570.75
2020,188612,Honda,Sedan,3398663,5,679732.6,37722.4
2006,33653,Tata,SUV,2163218,19,113853.58,1771.21
2018,130451,Toyota,MPV,2576418,7,368059.71,18635.86
2005,161877,Hyundai,SUV,730004,20,36500.2,8093.85
2011,85822,Maruti Suzuki,Hatchback,1277575,14,91255.36,6130.14
2010,199240,Toyota,Sedan,2423661,15,161577.4,13282.67
2003,35442,Maruti Suzuki,Sedan,3337724,22,151714.73,1611.0
2013,38337,Maruti Suzuki,Hatchback,1926564,12,160547.0,3194.75
2005,36438,Kia,Compact SUV,2661288,20,133064.4,1821.9
2022,142449,Mahindra,MPV,2600024,3,866674.67,47483.0
2001,177255,Tata,Sedan,1777856,24,74077.33,7385.62
2010,99869,Maruti Suzuki,SUV,1534271,15,102284.73,6657.93
2007,122930,Kia,Compact SUV,726883,18,40382.39,6829.44
2004,178619,Kia,Compact SUV,1924514,21,91643.52,8505.67
2004,21285,Toyota,Sedan,792194,21,37723.52,1013.57
2015,188682,Tata,Hatchback,585339,10,58533.9,18868.2
2012,179093,Tata,Hatchback,931875,13,71682.69,13776.38
2011,52837,Toyota,SUV,695060,14,49647.14,3774.07
2021,128147,Honda,Sedan,2166317,4,541579.25,32036.75
2022,198950,Kia,SUV,3205329,3,1068443.0,66316.67
2008,147330,Tata,Hatchback,337200,17,19835.29,8666.47
2011,60023,Hyundai,SUV,3815250,14,272517.86,4287.36
2013,150369,Kia,Compact SUV,3658506,12,304875.5,12530.75
2006,161118,Tata,Hatchback,1198424,19,63074.95,8479.89
2011,154987,Tata,SUV,2849276,14,203519.71,11070.5
2002,73281,Honda,Sedan,3348036,23,145566.78,3186.13
2015,189947,Mahindra,MPV,1220280,10,122028.0,18994.7
2016,139726,Hyundai,Sedan,2896760,9,321862.22,15525.11
2020,160997,Honda,Sedan,3442463,5,688492.6,32199.4
2017,171522,MG,Luxury,1827391,8,228423.88,21440.25
2007,179078,Kia,Compact SUV,576929,18,32051.61,9948.78
2001,73019,Maruti Suzuki,SUV,1681861,24,70077.54,3042.46
2013,141577,Tata,Hatchback,362358,12,30196.5,11798.08
2001,48848,Toyota,Sedan,758617,24,31609.04,2035.33
2012,67778,MG,Luxury,1557852,13,119834.77,5213.69
2014,169411,Hyundai,SUV,3431337,11,311939.73,15401.0
2003,130528,Kia,SUV,1887124,22,85778.36,5933.09
2020,55679,Tata,Sedan,2473149,5,494629.8,11135.8
2009,125211,Hyundai,Sedan,1414075,16,88379.69,7825.69
2007,119296,Kia,SUV,3272248,18,181791.56,6627.56
2021,49895,Mahindra,MPV,2102334,4,525583.5,12473.75
2014,139829,Kia,Compact SUV,529255,11,48114.09,12711.73
2005,20363,Toyota,Sedan,2646077,20,132303.85,1018.15
2018,31143,MG,Luxury,1988543,7,284077.57,4449.0
2004,69464,Hyundai,Sedan,3681895,21,175328.33,3307.81
2015,120819,Maruti Suzuki,Sedan,3515704,10,351570.4,12081.9
2018,33736,Tata,SUV,504095,7,72013.57,4819.43
2019,195939,MG,SUV,2744545,6,457424.17,32656.5
2003,138173,Honda,Sedan,842104,22,38277.45,6280.59
2009,61682,Honda,Hatchback,1677493,16,104843.31,3855.12
2003,44308,Maruti Suzuki,SUV,2947811,22,133991.41,2014.0
2012,174205,Hyundai,Sedan,3780758,13,290827.54,13400.38
2020,180988,Honda,Hatchback,2114751,5,422950.2,36197.6
2011,62719,Honda,Hatchback,1679361,14,119954.36,4479.93
2015,147415,Honda,Sedan,3800777,10,380077.7,14741.5
2008,120456,Mahindra,SUV,2427200,17,142776.47,7085.65
2018,130830,Honda,Hatchback,2977621,7,425374.43,18690.0
2017,82592,Maruti Suzuki,Hatchback,2441907,8,305238.38,10324.0
2014,89620,Toyota,Sedan,1682328,11,152938.91,8147.27
2001,27940,Toyota,Sedan,3431370,24,142973.75,1164.17
2000,21768,Maruti Suzuki,Hatchback,3315682,25,132627.28,870.72
2005,31680,Hyundai,Hatchback,459009,20,22950.45,1584.0
2010,99596,Tata,SUV,1390910,15,92727.33,6639.73
2016,158482,Hyundai,Sedan,3289093,9,365454.78,17609.11
2004,75428,Maruti Suzuki,Sedan,2551900,21,121519.05,3591.81
2003,67814,Toyota,Sedan,1936217,22,88009.86,3082.45
2019,145321,Mahindra,SUV,2871263,6,478543.83,24220.17
2009,192275,Hyundai,Sedan,704742,16,44046.38,12017.19
2002,133392,Mahindra,MPV,2907758,23,126424.26,5799.65
2016,128158,Mahindra,MPV,3713089,9,412565.44,14239.78
2001,33985,Toyota,SUV,3768874,24,157036.42,1416.04
2003,72881,Honda,Hatchback,2480755,22,112761.59,3312.77
2009,193785,MG,SUV,2911729,16,181983.06,12111.56
2017,176340,Hyundai,Hatchback,966017,8,120752.12,22042.5
2002,176867,Toyota,MPV,3363837,23,146253.78,7689.87
2012,165049,Kia,Compact SUV,2411819,13,185524.54,12696.08
2006,199788,Honda,Sedan,1891345,19,99544.47,10515.16
2003,91723,Toyota,Sedan,711682,22,32349.18,4169.23
2017,79534,Hyundai,Sedan,2185142,8,273142.75,9941.75
2005,141721,Hyundai,SUV,2872188,20,143609.4,7086.05
2006,183283,Mahindra,MPV,3267202,19,171958.0,9646.47
2006,42014,Kia,SUV,2144439,19,112865.21,2211.26
2021,114897,Kia,SUV,3935984,4,983996.0,28724.25
2019,112863,Tata,Sedan,3651825,6,608637.5,18810.5
2008,187080,Maruti Suzuki,SUV,2517051,17,148061.82,11004.71
2015,28656,Mahindra,MPV,2343821,10,234382.1,2865.6
2022,139824,MG,Luxury,1791337,3,597112.33,46608.0
2022,195209,Hyundai,SUV,400654,3,133551.33,65069.67
2017,134457,Kia,Compact SUV,1199222,8,149902.75,16807.12
2004,53132,Hyundai,Sedan,2641262,21,125774.38,2530.1
2022,105117,Maruti Suzuki,Sedan,1033260,3,344420.0,35039.0
2008,197478,Kia,Compact SUV,1093519,17,64324.65,11616.35
2019,192962,Toyota,MPV,3785538,6,630923.0,32160.33
2010,38467,Maruti Suzuki,SUV,309754,15,20650.27,2564.47
2007,47394,Kia,Compact SUV,1593069,18,88503.83,2633.0
2002,126897,Mahindra,MPV,2479894,23,107821.48,5517.26
2012,58259,Hyundai,Hatchback,885465,13,68112.69,4481.46
2018,150686,Toyota,Sedan,1634747,7,233535.29,21526.57
2007,133415,Maruti Suzuki,Sedan,879900,18,48883.33,7411.94
2020,189580,MG,Luxury,3685734,5,737146.8,37916.0
2012,153440,Tata,Hatchback,2957562,13,227504.77,11803.08
2009,84957,Hyundai,SUV,3904977,16,244061.06,5309.81
2014,186476,Hyundai,SUV,3585274,11,325934.0,16952.36
2019,114822,MG,SUV,1170156,6,195026.0,19137.0
2015,161542,MG,Luxury,3359226,10,335922.6,16154.2
2015,52819,MG,Luxury,1979122,10,197912.2,5281.9
2019,86663,MG,Luxury,727265,6,121210.83,14443.83
2018,170931,Maruti Suzuki,Hatchback,1426611,7,203801.57,24418.71
2004,51068,Toyota,Sedan,569453,21,27116.81,2431.81
2005,83450,Toyota,Sedan,2002303,20,100115.15,4172.5
2010,66298,Tata,Hatchback,3366794,15,224452.93,4419.87
2005,133943,Honda,Hatchback,1920020,20,96001.0,6697.15
2015,199493,Honda,Hatchback,2203328,10,220332.8,19949.3
2010,185135,Toyota,MPV,1642777,15,109518.47,12342.33
2008,159264,Maruti Suzuki,Sedan,1895235,17,111484.41,9368.47
2022,183409,MG,Luxury,3027994,3,1009331.33,61136.33
2000,36827,Hyundai,Hatchback,3583721,25,143348.84,1473.08
2014,72056,Honda,Hatchback,2996307,11,272391.55,6550.55
2010,183805,Hyundai,Hatchback,2947168,15,196477.87,12253.67
2020,134877,Kia,Compact SUV,307816,5,61563.2,26975.4
2004,131487,Hyundai,Sedan,1607538,21,76549.43,6261.29
2002,50315,Mahindra,MPV,1053433,23,45801.43,2187.61
2001,179908,Mahindra,SUV,3533539,24,147230.79,7496.17
2017,152579,Tata,SUV,533742,8,66717.75,19072.38
2022,45214,Maruti Suzuki,SUV,3287877,3,1095959.0,15071.33
2011,108328,MG,Luxury,2846348,14,203310.57,7737.71
2002,41691,Mahindra,SUV,3200071,23,139133.52,1812.65
2015,138199,Mahindra,SUV,3078700,10,307870.0,13819.9
2004,198986,Kia,Compact SUV,2409893,21,114756.81,9475.52
2018,101010,Mahindra,MPV,883931,7,126275.86,14430.0
2003,33662,Kia,Compact SUV,3494693,22,158849.68,1530.09
2008,81371,Kia,SUV,3336426,17,196260.35,4786.53
2021,77998,Hyundai,Sedan,1578118,4,394529.5,19499.5
2006,87019,Mahindra,MPV,3114284,19,163909.68,4579.95
2012,175551,Honda,Hatchback,2941201,13,226246.23,13503.92
2018,185243,Kia,SUV,1938335,7,276905.0,26463.29
2008,119802,Hyundai,SUV,1240379,17,72963.47,7047.18
2022,177412,Mahindra,MPV,1663054,3,554351.33,59137.33
2014,100900,Mahindra,SUV,2119082,11,192643.82,9172.73
2010,162804,Tata,SUV,3273197,15,218213.13,10853.6
2010,185856,Hyundai,Sedan,3532574,15,235504.93,12390.4
2022,126545,Kia,Compact SUV,1288786,3,429595.33,42181.67
2006,192043,Toyota,SUV,2164679,19,113930.47,10107.53
2021,190542,Honda,Hatchback,948282,4,237070.5,47635.5
2000,127379,Tata,SUV,1067371,25,42694.84,5095.16
2017,129889,Hyundai,Hatchback,786404,8,98300.5,16236.12
2017,176665,Tata,SUV,739572,8,92446.5,22083.12
2005,129395,Honda,Sedan,1265656,20,63282.8,6469.75
2017,53797,Honda,Hatchback,984538,8,123067.25,6724.62
2021,161849,Honda,Sedan,1952999,4,488249.75,40462.25
2007,197437,Mahindra,MPV,566490,18,31471.67,10968.72
2018,147316,Toyota,Sedan,3887379,7,555339.86,21045.14
2021,173374,Kia,SUV,2065976,4,516494.0,43343.5
2004,84417,Maruti Suzuki,Sedan,1326646,21,63173.62,4019.86
2003,173853,Maruti Suzuki,SUV,1061819,22,48264.5,7902.41
2000,172667,Toyota,MPV,1191525,25,47661.0,6906.68
2010,165510,Hyundai,Sedan,2094506,15,139633.73,11034.0
2001,57760,MG,SUV,2159283,24,89970.12,2406.67
2010,102166,Hyundai,Sedan,3162758,15,210850.53,6811.07
2022,24208,Toyota,MPV,1506374,3,502124.67,8069.33
2016,30391,Hyundai,Hatchback,1868503,9,207611.44,3376.78
2011,94543,Maruti Suzuki,Sedan,3569464,14,254961.71,6753.07
2006,107809,Kia,Compact SUV,2043469,19,107551.0,5674.16
2003,126618,Tata,Hatchback,2306778,22,104853.55,5755.36
2007,115877,MG,Luxury,2572020,18,142890.0,6437.61
2021,198004,Mahindra,MPV,2062139,4,515534.75,49501.0
2011,41698,Maruti Suzuki,Hatchback,3231839,14,230845.64,2978.43
2015,196536,Honda,Sedan,728808,10,72880.8,19653.6
2014,106510,MG,Luxury,3845135,11,349557.73,9682.73
2011,119184,Mahindra,SUV,1358977,14,97069.79,8513.14
2003,140897,Honda,Sedan,1847102,22,83959.18,6404.41
2015,85449,Maruti Suzuki,SUV,2387938,10,238793.8,8544.9
2022,185737,Toyota,Sedan,2132596,3,710865.33,61912.33
2018,103220,Honda,Sedan,2215459,7,316494.14,14745.71
2015,78675,Hyundai,Sedan,1731874,10,173187.4,7867.5
2006,174991,Hyundai,SUV,1450433,19,76338.58,9210.05
2021,36442,Maruti Suzuki,Sedan,463075,4,115768.75,9110.5
2014,145083,Maruti Suzuki,Hatchback,379439,11,34494.45,13189.36
2018,60757,Tata,SUV,2293285,7,327612.14,8679.57
2003,126505,Honda,Sedan,794122,22,36096.45,5750.23
2013,196670,Honda,Sedan,931245,12,77603.75,16389.17
2013,78497,Tata,SUV,753066,12,62755.5,6541.42
2011,160863,Honda,Hatchback,3354308,14,239593.43,11490.21
2013,148277,Maruti Suzuki,SUV,885182,12,73765.17,12356.42
2001,174151,MG,SUV,1932891,24,80537.12,7256.29
2016,93093,Tata,SUV,1165779,9,129531.0,10343.67
2001,131331,Maruti Suzuki,SUV,666498,24,27770.75,5472.12
2005,109823,Maruti Suzuki,Hatchback,2756555,20,137827.75,5491.15
2003,72571,Kia,SUV,1510624,22,68664.73,3298.68
2017,175000,Honda,Hatchback,1699034,8,212379.25,21875.0
2003,61628,Mahindra,MPV,3356914,22,152587.0,2801.27
2009,122250,MG,Luxury,3676301,16,229768.81,7640.62
2009,83815,Mahindra,MPV,2487780,16,155486.25,5238.44
2002,51230,Kia,Compact SUV,2261431,23,98323.09,2227.39
2020,69247,Hyundai,Hatchback,1277901,5,255580.2,13849.4
2020,63061,Hyundai,SUV,3888151,5,777630.2,12612.2
2002,196846,Hyundai,SUV,1211325,23,52666.3,8558.52
2012,70156,Kia,SUV,3139034,13,241464.15,5396.62
2007,190006,Mahindra,MPV,480149,18,26674.94,10555.89
2012,113874,Mahindra,MPV,2385261,13,183481.62,8759.54
2014,73737,Honda,Hatchback,3086765,11,280615.0,6703.36
2003,182343,Mahindra,MPV,2259807,22,102718.5,8288.32
2003,58643,Kia,SUV,1524459,22,69293.59,2665.59
2008,106086,Hyundai,SUV,588363,17,34609.59,6240.35
2010,46053,Hyundai,Sedan,520665,15,34711.0,3070.2
2001,112404,MG,Luxury,1508681,24,62861.71,4683.5
2015,88453,Kia,SUV,3173701,10,317370.1,8845.3
2004,32801,Mahindra,MPV,348516,21,16596.0,1561.95
2019,137191,Kia,Compact SUV,2807888,6,467981.33,22865.17
2005,111652,Mahindra,SUV,3932053,20,196602.65,5582.6
2009,91869,Toyota,SUV,1946311,16,121644.44,5741.81
2002,95863,Hyundai,Sedan,1782612,23,77504.87,4167.96
2018,24774,Honda,Sedan,3107703,7,443957.57,3539.14
2004,150852,Hyundai,Hatchback,1369882,21,65232.48,7183.43
2022,26825,Honda,Sedan,632162,3,210720.67,8941.67
2022,22478,Honda,Hatchback,471169,3,157056.33,7492.67
2007,110621,MG,SUV,693713,18,38539.61,6145.61
2007,38138,MG,Luxury,1827319,18,101517.72,2118.78
2012,122970,Toyota,Sedan,2595486,13,199652.77,9459.23
2012,57156,Honda,Hatchback,3927398,13,302107.54,4396.62
2014,64311,MG,Luxury,1845521,11,167774.64,5846.45
2020,198553,Tata,SUV,2178753,5,435750.6,39710.6
2011,97095,Honda,Hatchback,3240599,14,231471.36,6935.36
2007,81229,Mahindra,MPV,3349298,18,186072.11,4512.72
2021,122751,Mahindra,SUV,3496127,4,874031.75,30687.75
2013,122761,Hyundai,Sedan,1950175,12,162514.58,10230.08
2013,162042,Mahindra,MPV,3313812,12,276151.0,13503.5
2012,104750,Honda,Sedan,3371659,13,259358.38,8057.69
2022,70068,Toyota,Sedan,1529400,3,509800.0,23356.0
2021,74542,MG,Luxury,2010582,4,502645.5,18635.5
2007,26388,Maruti Suzuki,Hatchback,656276,18,36459.78,1466.0
2005,163056,Hyundai,SUV,2854338,20,142716.9,8152.8
2013,83129,MG,Luxury,3350837,12,279236.42,6927.42
2004,138734,Mahindra,MPV,2035503,21,96928.71,6606.38
2001,21999,Hyundai,Sedan,3936088,24,164003.67,916.62
2009,53929,Maruti Suzuki,Hatchback,2378101,16,148631.31,3370.56
2004,171063,MG,SUV,1104297,21,52585.57,8145.86
2012,162005,Kia,SUV,2226552,13,171273.23,12461.92
2007,63297,Hyundai,Hatchback,328610,18,18256.11,3516.5
2008,172054,Toyota,MPV,1296774,17,76280.82,10120.82
2016,171979,Mahindra,MPV,1688081,9,187564.56,19108.78
2017,35100,Honda,Sedan,1590982,8,198872.75,4387.5
2013,128813,Honda,Sedan,984694,12,82057.83,10734.42
2022,156319,Kia,Compact SUV,1840273,3,613424.33,52106.33
2011,177995,Mahindra,SUV,1659590,14,118542.14,12713.93
2012,56319,Toyota,MPV,3881339,13,298564.54,4332.23
2007,149156,MG,Luxury,1130678,18,62815.44,8286.44
2006,43920,Tata,SUV,2363558,19,124397.79,2311.58
2002,30605,Kia,Compact SUV,1115108,23,48482.96,1330.65
2009,124532,Mahindra,SUV,562432,16,35152.0,7783.25
2002,174125,Tata,Hatchback,3756683,23,163334.04,7570.65
2010,98116,Honda,Hatchback,1661832,15,110788.8,6541.07
2020,181411,Maruti Suzuki,Hatchback,739242,5,147848.4,36282.2
2009,173038,Kia,Compact SUV,2220283,16,138767.69,10814.88
2004,28028,MG,SUV,3470704,21,165271.62,1334.67
2021,141684,Maruti Suzuki,Sedan,2103203,4,525800.75,35421.0
2018,106647,MG,SUV,3421013,7,488716.14,15235.29
2018,167614,Kia,SUV,2873073,7,410439.0,23944.86
2016,43503,Hyundai,SUV,1314046,9,146005.11,4833.67
2018,196613,Kia,Compact SUV,3577779,7,511111.29,28087.57
2000,87979,Kia,SUV,2636135,25,105445.4,3519.16
2013,31561,Kia,SUV,1380853,12,115071.08,2630.08
2016,27251,Mahindra,MPV,1559734,9,173303.78,3027.89
2017,87442,Hyundai,Sedan,586912,8,73364.0,10930.25
2001,133224,Hyundai,Hatchback,828439,24,34518.29,5551.0
2014,68733,Tata,SUV,1918646,11,174422.36,6248.45
2021,74307,Mahindra,MPV,3500481,4,875120.25,18576.75
2015,169101,Hyundai,SUV,1832968,10,183296.8,16910.1
2000,189101,Honda,Sedan,652453,25,26098.12,7564.04
2004,42007,Toyota,Sedan,1648119,21,78481.86,2000.33
2010,60564,MG,Luxury,1835516,15,122367.73,4037.6
2010,125052,Hyundai,Hatchback,1643007,15,109533.8,8336.8
2016,117767,Toyota,MPV,2262395,9,251377.22,13085.22
2019,58492,Kia,Compact SUV,1190152,6,198358.67,9748.67
2012,189356,Tata,Hatchback,538208,13,41400.62,14565.85
2020,74540,Tata,Hatchback,1584299,5,316859.8,14908.0
2000,119185,Tata,Hatchback,1183587,25,47343.48,4767.4
2019,151025,Hyundai,Sedan,1851076,6,308512.67,25170.83
2007,169637,Hyundai,Hatchback,3709524,18,206084.67,9424.28
2007,160088,Kia,Compact SUV,1066848,18,59269.33,8893.78
2002,177008,Hyundai,Sedan,1160278,23,50446.87,7696.0
2004,37747,Tata,Sedan,1906232,21,90772.95,1797.48
2000,135086,Maruti Suzuki,Hatchback,3161499,25,126459.96,5403.44
2020,94719,Honda,Hatchback,776606,5,155321.2,18943.8
2005,140016,Honda,Hatchback,3737087,20,186854.35,7000.8
2003,139161,Honda,Hatchback,2862010,22,130091.36,6325.5
2011,28026,Hyundai,SUV,1620578,14,115755.57,2001.86
2011,158967,Tata,SUV,2773659,14,198118.5,11354.79
2007,99635,Honda,Sedan,1569161,18,87175.61,5535.28
2008,174605,Hyundai,SUV,774236,17,45543.29,10270.88
2020,22420,Tata,Hatchback,2287020,5,457404.0,4484.0
2016,130062,Kia,SUV,3940055,9,437783.89,14451.33
2002,166926,Tata,SUV,1210959,23,52650.39,7257.65
2006,54124,Hyundai,SUV,2193450,19,115444.74,2848.63
2007,106638,MG,SUV,2421995,18,134555.28,5924.33
2006,78985,MG,Luxury,3092784,19,162778.11,4157.11
2022,32241,Maruti Suzuki,Sedan,1699544,3,566514.67,10747.0
2019,187183,Toyota,Sedan,2758293,6,459715.5,31197.17
2003,163486,Kia,SUV,2093418,22,95155.36,7431.18
2016,80803,MG,SUV,1224226,9,136025.11,8978.11
2001,97074,MG,SUV,3705297,24,154387.38,4044.75
2017,78961,Hyundai,SUV,1352551,8,169068.88,9870.12
2016,36718,MG,SUV,528374,9,58708.22,4079.78
2015,62345,Honda,Hatchback,2996393,10,299639.3,6234.5
2005,144890,Tata,SUV,1481457,20,74072.85,7244.5
2015,34826,Hyundai,SUV,707407,10,70740.7,3482.6
2015,84712,Tata,Sedan,2952085,10,295208.5,8471.2
2014,65653,Kia,SUV,1536405,11,139673.18,5968.45
2018,145976,Kia,SUV,1359534,7,194219.14,20853.71
2018,79793,Hyundai,Hatchback,2076801,7,296685.86,11399.0
2020,36385,Mahindra,SUV,538583,5,107716.6,7277.0
2007,183014,Honda,Sedan,1268540,18,70474.44,10167.44
2009,153296,Kia,SUV,716743,16,44796.44,9581.0
2009,160319,Tata,Sedan,2930200,16,183137.5,10019.94
2002,99533,Maruti Suzuki,Sedan,2091166,23,90920.26,4327.52
2008,21334,Tata,SUV,1412730,17,83101.76,1254.94
2015,156880,Mahindra,MPV,3813460,10,381346.0,15688.0
2022,153935,Hyundai,Sedan,3198321,3,1066107.0,51311.67
2012,50176,Toyota,MPV,1018982,13,78383.23,3859.69
2014,127993,Kia,Compact SUV,1242851,11,112986.45,11635.73
2009,144177,Hyundai,SUV,2580618,16,161288.62,9011.06
2018,69880,Tata,SUV,1319213,7,188459.0,9982.86
2003,81705,Honda,Hatchback,2618970,22,119044.09,3713.86
2016,118354,Hyundai,SUV,954392,9,106043.56,13150.44
2017,173203,Mahindra,MPV,1845511,8,230688.88,21650.38
2008,120938,Toyota,SUV,3822418,17,224848.12,7114.0
2005,170606,Toyota,Sedan,1867796,20,93389.8,8530.3
2008,133618,Kia,Compact SUV,1150129,17,67654.65,7859.88
2021,110159,Honda,Hatchback,2755681,4,688920.25,27539.75
2000,138647,Tata,SUV,1222269,25,48890.76,5545.88
2011,51194,Kia,SUV,3070023,14,219287.36,3656.71
2014,164495,Maruti Suzuki,Sedan,474758,11,43159.82,14954.09
2001,177694,Mahindra,SUV,1254728,24,52280.33,7403.92
2007,114041,Maruti Suzuki,SUV,3529507,18,196083.72,6335.61
2016,186063,Hyundai,SUV,3433952,9,381550.22,20673.67
2011,99918,Maruti Suzuki,Hatchback,3786908,14,270493.43,7137.0
2013,66258,Honda,Sedan,2210176,12,184181.33,5521.5
2011,79531,Tata,Hatchback,3478820,14,248487.14,5680.79
2022,126266,Hyundai,SUV,1182446,3,394148.67,42088.67
2001,184407,Hyundai,SUV,3552531,24,148022.12,7683.62
2018,135740,Honda,Hatchback,1567099,7,223871.29,19391.43
2009,31293,Kia,SUV,1069961,16,66872.56,1955.81
2006,91641,MG,SUV,887608,19,46716.21,4823.21
2003,63032,Maruti Suzuki,Hatchback,3950988,22,179590.36,2865.09
